Time (s),Thermistor,Conductive Band
0.0,3106,627
0.1,3150,567
0.2,3194,668
0.30000000000000004,3240,1783
0.4,3260,3053
0.5,3204,3393
0.6000000000000001,3064,3437
0.7000000000000001,2890,3643
0.8,2687,3715
0.9,2467,3547
1.0,2250,3237
1.1,2067,2789
1.2000000000000002,1841,2274
1.3,1918,2029
1.4000000000000001,2108,1859
1.5,2302,1595
1.6,2489,1419
1.7000000000000002,2659,1259
1.8,2800,1264
1.9000000000000001,2922,1208
2.0,3030,2895
2.1,3053,3191
2.2,2963,3227
2.3000000000000003,2806,3245
2.4000000000000004,2608,3307
2.5,2388,3517
2.6,2160,3665
2.7,1941,3665
2.8000000000000003,1741,3601
2.9000000000000004,1578,3289
3.0,1248,3031
3.1,1381,2619
3.2,1595,2217
3.3000000000000003,1821,1833
3.4000000000000004,2055,1577
3.5,2280,1371
3.6,2469,1145
3.7,2653,1015
3.8000000000000003,2787,1721
3.9000000000000004,2896,1997
4.0,2955,2449
4.1000000000000005,2900,2841
4.2,2753,3219
4.3,2571,3735
4.4,2369,4019
4.5,2171,4023
4.6000000000000005,1966,3883
4.7,1791,3593
4.800000000000001,1493,2985
4.9,1489,2539
5.0,1621,2161
5.1000000000000005,1832,1753
5.2,2087,1541
5.300000000000001,2329,1388
5.4,2532,1292
5.5,2706,1225
5.6000000000000005,2860,1153
5.7,2993,1399
5.800000000000001,3106,2681
5.9,3104,3129
6.0,3007,3619
6.1000000000000005,2834,3517
6.2,2590,3731
6.300000000000001,2332,4005
6.4,2078,3967
6.5,1837,3639
6.6000000000000005,1637,3187
6.7,1072,2507
6.800000000000001,1212,2147
6.9,1515,1773
7.0,1818,1541
7.1000000000000005,2064,1363
7.2,2297,1240
7.300000000000001,2490,1131
7.4,2633,1413
7.5,2755,2318
7.6000000000000005,2902,2793
7.7,2974,3459
7.800000000000001,2835,3639
7.9,2606,3781
8.0,2352,3745
8.1,2101,3793
8.200000000000001,1861,3556
8.3,1646,3211
8.4,1376,2827
8.5,973,2471
8.6,1243,2291
8.700000000000001,1595,1959
8.8,1904,1825
8.9,2166,1689
9.0,2377,1563
9.1,2553,1797
9.200000000000001,2710,2513
9.3,2840,2883
9.4,2758,3241
9.5,2560,3299
9.600000000000001,2312,3485
9.700000000000001,2052,3600
9.8,1804,3785
9.9,1570,3453
10.0,1363,3093
10.100000000000001,811,2523
10.200000000000001,900,2091
10.3,1223,1789
10.4,1545,1527
10.5,1855,1392
10.600000000000001,2116,1239
10.700000000000001,2344,1169
10.8,2540,1133
10.9,2704,1615
11.0,2858,2827
11.100000000000001,2915,3193
11.200000000000001,2801,3303
11.3,2598,3363
11.4,2359,3757
11.5,2114,3857
11.600000000000001,1878,3723
11.700000000000001,1654,3411
11.8,1457,2863
11.9,1059,2397
12.0,1130,2041
12.100000000000001,1439,1791
12.200000000000001,1750,1570
12.3,2017,1427
12.4,2250,1280
12.5,2443,1207
12.600000000000001,2604,1429
12.700000000000001,2762,2293
12.8,2891,3009
12.9,2815,3379
13.0,2629,3565
13.100000000000001,2397,3795
13.200000000000001,2163,3647
13.3,1932,3469
13.4,1715,3259
13.5,1450,2911
13.600000000000001,1211,2215
13.700000000000001,1329,1849
13.8,1577,1423
13.9,1829,1252
14.0,2077,1081
14.100000000000001,2311,1002
14.200000000000001,2513,915
14.3,2678,869
14.4,2811,1305
14.5,2937,2135
14.600000000000001,3016,3231
14.700000000000001,2913,3465
14.8,2715,3386
14.9,2473,3541
15.0,2227,3697
15.100000000000001,1983,3997
15.200000000000001,1760,3589
15.3,1489,3383
15.4,1140,2829
15.5,1339,2419
15.600000000000001,1596,2000
15.700000000000001,1841,1771
15.8,2079,1565
15.9,2288,1407
16.0,2459,1301
16.1,2603,1787
16.2,2715,2679
16.3,2827,3113
16.400000000000002,2816,3203
16.5,2669,3383
16.6,2451,3525
16.7,2217,3771
16.8,1983,4029
16.900000000000002,1759,3963
17.0,1549,3665
17.1,1255,3275
17.2,976,2733
17.3,1245,2293
17.400000000000002,1587,1973
17.5,1874,1695
17.6,2126,1431
17.7,2337,1299
17.8,2512,1194
17.900000000000002,2656,1390
18.0,2768,2445
18.1,2867,2749
18.2,2803,3223
18.3,2638,3493
18.400000000000002,2416,3649
18.5,2179,3939
18.6,1949,3931
18.7,1726,3671
18.8,1522,3411
18.900000000000002,1037,3003
19.0,1026,2517
19.1,1321,2047
19.200000000000003,1598,1699
19.3,1849,1419
19.400000000000002,2080,1207
19.5,2272,1009
19.6,2445,967
19.700000000000003,2588,1229
19.8,2701,1895
19.900000000000002,2798,3005
