Time (s),Thermistor,Conductive Band
0.0,1997,1911
0.1,1990,1899
0.2,1980,1861
0.30000000000000004,1976,1872
0.4,1968,1863
0.5,1955,1907
0.6000000000000001,1948,1917
0.7000000000000001,1947,2013
0.8,1946,2173
0.9,1923,2371
1.0,1870,2863
1.1,1776,3052
1.2000000000000002,1680,3553
1.3,1575,4019
1.4000000000000001,1405,4017
1.5,1317,4027
1.6,1184,4011
1.7000000000000002,1051,4023
1.8,917,4027
1.9000000000000001,780,4021
2.0,647,4021
2.1,504,4023
2.2,364,4017
2.3000000000000003,243,4021
2.4000000000000004,111,4013
2.5,0,4019
2.6,0,4001
2.7,0,4007
2.8000000000000003,0,4007
2.9000000000000004,0,4009
3.0,0,4003
3.1,0,4005
3.2,0,4007
3.3000000000000003,0,4005
3.4000000000000004,0,4005
3.5,0,4007
3.6,0,3999
3.7,0,4005
3.8000000000000003,0,4003
3.9000000000000004,0,4003
4.0,0,4007
4.1000000000000005,0,4003
4.2,0,4005
4.3,0,4007
4.4,0,4005
4.5,0,4003
4.6000000000000005,0,4009
4.7,0,4009
4.800000000000001,0,4007
4.9,0,4015
5.0,0,4003
5.1000000000000005,292,4027
5.2,675,3696
5.300000000000001,965,3277
5.4,1238,2953
5.5,1461,2809
5.6000000000000005,1660,2669
5.7,1823,2555
5.800000000000001,1955,2443
5.9,2080,2385
6.0,2185,2337
6.1000000000000005,2270,2275
6.2,2344,2185
6.300000000000001,2427,2123
6.4,2472,2035
6.5,2496,2003
6.6000000000000005,2541,2036
6.7,2568,1975
6.800000000000001,2591,1971
6.9,2618,1959
7.0,2614,1975
7.1000000000000005,2628,1947
7.2,2635,2000
7.300000000000001,2643,1997
7.4,2652,2047
7.5,2659,2039
7.6000000000000005,2685,2015
7.7,2692,1961
7.800000000000001,2688,1941
7.9,2698,1923
8.0,2687,1909
8.1,2660,1950
8.200000000000001,2648,1977
8.3,2620,2003
8.4,2598,2045
8.5,2563,2005
8.6,2540,2049
8.700000000000001,2513,2185
8.8,2507,2323
8.9,2509,2289
9.0,2517,2237
9.1,2519,2187
9.200000000000001,2504,2191
9.3,2490,2149
9.4,2480,2189
9.5,2466,2199
9.600000000000001,2438,2211
9.700000000000001,2418,2245
9.8,2394,2301
9.9,2373,2337
10.0,2376,2329
10.100000000000001,2338,2331
10.200000000000001,2308,2277
10.3,2300,2285
10.4,2281,2251
10.5,2263,2261
10.600000000000001,2245,2235
10.700000000000001,2235,2289
10.8,2207,2352
10.9,2200,2457
11.0,2176,2765
11.100000000000001,2135,2841
11.200000000000001,2151,2845
11.3,2084,2995
11.4,2000,3097
11.5,1903,3311
11.600000000000001,1796,3632
11.700000000000001,1694,3891
11.8,1579,3963
11.9,1456,4023
12.0,1333,4023
12.100000000000001,1223,4025
12.200000000000001,1084,4025
12.3,952,4021
12.4,821,4027
12.5,699,4017
12.600000000000001,573,4021
12.700000000000001,455,4019
12.8,327,4021
12.9,226,4021
13.0,94,4025
13.100000000000001,0,4031
13.200000000000001,0,4007
13.3,0,4007
13.4,0,3997
13.5,0,4005
13.600000000000001,0,4003
13.700000000000001,0,4023
13.8,0,4005
13.9,0,3949
14.0,0,4003
14.100000000000001,0,4007
14.200000000000001,0,4007
14.3,0,4005
14.4,0,4005
14.5,0,4003
14.600000000000001,0,4009
14.700000000000001,0,4003
14.8,0,4007
14.9,0,4005
15.0,0,3987
15.100000000000001,0,3875
15.200000000000001,0,3847
15.3,0,3873
15.4,170,3813
15.5,548,3729
15.600000000000001,842,3315
15.700000000000001,1115,3033
15.8,1325,2832
15.9,1515,2615
16.0,1661,2419
16.1,1793,2265
16.2,1907,2211
16.3,1996,2191
16.400000000000002,2070,2113
16.5,2135,2077
16.6,2174,1931
16.7,2216,1891
16.8,2242,1837
16.900000000000002,2270,1823
17.0,2284,1823
17.1,2323,1781
17.2,2352,1765
17.3,2358,1723
17.400000000000002,2384,1751
17.5,2403,1701
17.6,2431,1721
17.7,2430,1715
17.8,2439,1683
17.900000000000002,2441,1733
18.0,2453,1741
18.1,2461,1719
18.2,2461,1673
18.3,2441,1653
18.400000000000002,2457,1629
18.5,2448,1653
18.6,2457,1665
18.7,2440,1697
18.8,2410,1717
18.900000000000002,2377,1797
19.0,2342,1771
19.1,2349,1733
19.200000000000003,2294,1753
19.3,2266,1757
19.400000000000002,2241,1797
19.5,2211,1825
19.6,2184,1773
19.700000000000003,2168,1795
19.8,2145,1789
19.900000000000002,2129,1754
20.0,2108,1821
20.1,2092,1805
20.200000000000003,2069,1837
20.3,2059,1817
20.400000000000002,2042,1775
20.5,2025,1841
20.6,2012,1887
20.700000000000003,1996,1861
20.8,1981,1855
20.900000000000002,1968,1955
21.0,1954,1969
21.1,1938,2051
21.200000000000003,1928,2145
21.3,1911,2253
21.400000000000002,1898,2337
21.5,1880,3329
21.6,1820,4023
21.700000000000003,1756,4019
21.8,1654,4027
21.900000000000002,1558,4021
22.0,1456,4019
22.1,1347,4025
22.200000000000003,1238,4029
22.3,1128,4029
22.400000000000002,1012,4027
22.5,899,4019
22.6,786,4025
22.700000000000003,665,4031
22.8,554,4025
22.900000000000002,434,4023
23.0,324,4025
23.1,207,4023
23.200000000000003,94,4025
23.3,0,4021
23.400000000000002,0,4053
23.5,0,4013
23.6,0,4005
23.700000000000003,0,4003
23.8,0,4005
23.900000000000002,0,4003
24.0,0,4005
24.1,0,3999
24.200000000000003,0,4011
24.3,0,4009
24.400000000000002,0,4027
24.5,0,4003
24.6,0,4003
24.700000000000003,0,4003
24.8,0,4005
24.900000000000002,0,4005
25.0,0,4005
25.1,0,4011
25.200000000000003,0,4015
25.3,0,4016
