Time (s),Thermistor,Conductive Band
0.0,1693,0
0.1,1693,5
0.2,1710,0
0.30000000000000004,1737,147
0.4,1751,1481
0.5,1680,2531
0.6000000000000001,1521,2237
0.7000000000000001,1377,1345
0.8,1465,861
0.9,1579,814
1.0,1645,1003
1.1,1666,1911
1.2000000000000002,1559,2549
1.3,1395,2231
1.4000000000000001,1296,1961
1.5,1429,1364
1.6,1530,1130
1.7000000000000002,1601,1971
1.8,1587,2473
1.9000000000000001,1450,3097
2.0,1288,3027
2.1,1283,1991
2.2,1422,1549
2.3000000000000003,1516,1075
2.4000000000000004,1575,2218
2.5,1522,2723
2.6,1390,2771
2.7,1240,2539
2.8000000000000003,1276,1913
2.9000000000000004,1399,1601
3.0,1476,1543
3.1,1507,2489
3.2,1426,2883
3.3000000000000003,1270,2789
3.4000000000000004,1137,2549
3.5,1215,1951
3.6,1344,1151
3.7,1412,1202
3.8000000000000003,1462,2591
3.9000000000000004,1370,3045
4.0,1217,2999
4.1000000000000005,1089,2067
4.2,1160,1550
4.3,1292,999
4.4,1389,1521
4.5,1391,2685
4.6000000000000005,1286,2951
4.7,1143,2527
4.800000000000001,1101,1777
4.9,1238,939
5.0,1338,600
5.1000000000000005,1413,1568
5.2,1394,1975
5.300000000000001,1285,1655
5.4,1177,447
5.5,1223,94
5.6000000000000005,1326,0
5.7,1400,34
5.800000000000001,1456,1816
5.9,1422,2605
6.0,1291,3315
6.1000000000000005,1152,2448
6.2,1111,1581
6.300000000000001,1245,1433
6.4,1357,751
6.5,1411,2005
6.6000000000000005,1357,2608
6.7,1209,2505
6.800000000000001,1083,1811
6.9,1007,1122
7.0,1135,799
7.1000000000000005,1254,698
7.2,1344,1139
7.300000000000001,1339,1949
7.4,1230,2125
7.5,1086,1985
7.6000000000000005,1056,1235
7.7,1200,1061
7.800000000000001,1302,1077
7.9,1375,1107
8.0,1418,1459
8.1,1340,1917
8.200000000000001,1186,1955
8.3,1062,995
8.4,1176,727
8.5,1294,336
8.6,1368,250
8.700000000000001,1417,1381
8.8,1343,2203
8.9,1203,1925
9.0,1082,1089
9.1,1169,54
9.200000000000001,1277,196
9.3,1347,98
9.4,1398,1673
9.5,1307,2245
9.600000000000001,1164,2044
9.700000000000001,1035,1699
9.8,1056,1369
9.9,1198,815
