Time (s),Thermistor,Conductive Band
0.0,914,123
0.1,933,0
0.2,939,81
0.30000000000000004,965,0
0.4,1061,184
0.5,1239,57
0.6000000000000001,1402,0
0.7000000000000001,1514,87
0.8,1617,125
0.9,1701,143
1.0,1759,211
1.1,1819,1033
1.2000000000000002,1800,1381
1.3,1681,1500
1.4000000000000001,1496,1651
1.5,1311,1827
1.6,1140,1679
1.7000000000000002,965,1194
1.8,823,1369
1.9000000000000001,660,1509
2.0,581,773
2.1,498,447
2.2,657,71
2.3000000000000003,883,30
2.4000000000000004,1107,272
2.5,1293,0
2.6,1428,0
2.7,1544,0
2.8000000000000003,1616,190
2.9000000000000004,1665,1869
3.0,1709,2891
3.1,1607,2455
3.2,1433,2473
3.3000000000000003,1276,2195
3.4000000000000004,1102,2199
3.5,944,2039
3.6,806,1999
3.7,675,1953
3.8000000000000003,567,1713
3.9000000000000004,472,1247
4.0,446,1303
4.1000000000000005,612,481
4.2,855,90
4.3,1066,0
4.4,1231,20
4.5,1369,6
4.6000000000000005,1473,0
4.7,1563,45
4.800000000000001,1632,329
4.9,1681,1809
5.0,1648,1683
5.1000000000000005,1524,1851
5.2,1363,1895
5.300000000000001,1198,1536
5.4,1098,2647
5.5,886,2028
5.6000000000000005,760,1775
5.7,633,1818
5.800000000000001,528,1431
5.9,471,684
6.0,602,137
6.1000000000000005,829,31
6.2,1034,0
6.300000000000001,1205,17
6.4,1316,104
6.5,1416,60
6.6000000000000005,1493,167
6.7,1557,29
6.800000000000001,1599,913
6.9,1605,1248
7.0,1523,1139
7.1000000000000005,1365,1545
7.2,1202,1871
7.300000000000001,1029,1075
7.4,901,1452
7.5,764,1453
7.6000000000000005,643,1394
7.7,539,1571
7.800000000000001,443,1489
7.9,367,953
8.0,398,690
8.1,633,337
8.200000000000001,866,0
8.3,1054,0
8.4,1187,193
8.5,1293,0
8.6,1381,154
8.700000000000001,1439,151
8.8,1494,1010
8.9,1530,1939
9.0,1521,1461
9.1,1392,2229
9.200000000000001,1243,1968
9.3,1092,2021
9.4,936,1861
9.5,795,1986
9.600000000000001,676,1943
9.700000000000001,563,1678
9.8,483,1289
9.9,488,630
