Time (s),Thermistor,Conductive Band
0.0,1809,1965
0.1,1823,2301
0.2,1841,2635
0.30000000000000004,1826,2815
0.4,1865,2695
0.5,1869,2501
0.6000000000000001,1875,2431
0.7000000000000001,1883,2327
0.8,1886,2321
0.9,1890,2325
1.0,1887,2381
1.1,1909,2423
1.2000000000000002,1897,2377
1.3,1897,2525
1.4000000000000001,1894,2573
1.5,1904,2541
1.6,1899,2721
1.7000000000000002,1899,2733
1.8,1904,2823
1.9000000000000001,1905,2879
2.0,1895,2865
2.1,1889,2835
2.2,1878,2741
2.3000000000000003,1873,2751
2.4000000000000004,1863,2797
2.5,1864,2973
2.6,1860,3597
2.7,1860,3909
2.8000000000000003,1810,3999
2.9000000000000004,1736,3995
3.0,1631,4003
3.1,1503,4013
3.2,1349,4003
3.3000000000000003,1206,4003
3.4000000000000004,1048,3999
3.5,891,4003
3.6,731,3929
3.7,576,3875
3.8000000000000003,423,3856
3.9000000000000004,277,3785
4.0,122,3639
4.1000000000000005,0,3671
4.2,0,3521
4.3,0,3435
4.4,0,3363
4.5,0,3325
4.6000000000000005,0,3177
4.7,0,3145
4.800000000000001,0,3043
4.9,0,2969
5.0,0,2841
5.1000000000000005,0,2707
5.2,0,2545
5.300000000000001,0,2439
5.4,0,2419
5.5,0,2261
5.6000000000000005,0,2201
5.7,0,2135
5.800000000000001,0,2125
5.9,0,2099
6.0,0,2075
6.1000000000000005,0,2171
6.2,0,2304
6.300000000000001,0,2631
6.4,0,2835
6.5,108,2925
6.6000000000000005,558,2691
6.7,931,2500
6.800000000000001,1244,2327
6.9,1491,2143
7.0,1690,2047
7.1000000000000005,1867,2011
7.2,2026,2025
7.300000000000001,2157,2047
7.4,2283,2032
7.5,2384,1955
7.6000000000000005,2459,1905
7.7,2549,1853
7.800000000000001,2615,1786
7.9,2679,1697
8.0,2733,1662
8.1,2786,1645
8.200000000000001,2807,1675
8.3,2868,1618
8.4,2889,1623
8.5,2911,1589
8.6,2920,1623
8.700000000000001,2941,1563
8.8,2947,1561
8.9,2949,1575
9.0,2955,1559
9.1,2961,1591
9.200000000000001,2967,1591
9.3,2980,1577
9.4,2988,1555
9.5,2992,1543
9.600000000000001,2988,1543
9.700000000000001,2987,1535
9.8,2980,1559
9.9,2970,1517
10.0,2949,1517
10.100000000000001,2937,1495
10.200000000000001,2937,1503
10.3,2925,1481
10.4,2921,1510
10.5,2914,1505
10.600000000000001,2887,1521
10.700000000000001,2891,1505
10.8,2879,1488
10.9,2858,1483
11.0,2842,1491
11.100000000000001,2828,1481
11.200000000000001,2814,1459
11.3,2810,1494
11.4,2782,1509
11.5,2764,1522
11.600000000000001,2745,1519
11.700000000000001,2731,1475
11.8,2708,1512
11.9,2696,1520
12.0,2701,1515
12.100000000000001,2692,1589
12.200000000000001,2686,1529
12.3,2745,1561
12.4,2679,1593
12.5,2669,1645
12.600000000000001,2674,1723
12.700000000000001,2681,1889
12.8,2664,2121
12.9,2634,2495
13.0,2550,2875
13.100000000000001,2495,3089
13.200000000000001,2417,3297
13.3,2336,3495
13.4,2242,3595
13.5,2143,3703
13.600000000000001,2025,3911
13.700000000000001,1935,3997
13.8,1805,3991
13.9,1689,3905
14.0,1576,4003
14.100000000000001,1451,4003
14.200000000000001,1320,4001
14.3,1209,4001
14.4,1087,4003
14.5,976,4007
14.600000000000001,864,4001
14.700000000000001,756,4005
14.8,658,4005
14.9,553,4001
15.0,459,4007
15.100000000000001,373,4009
15.200000000000001,275,4005
15.3,191,4017
15.4,97,4005
15.5,20,4003
15.600000000000001,0,3991
15.700000000000001,0,3993
15.8,0,3993
15.9,0,3989
16.0,0,3999
16.1,0,3989
16.2,0,3989
16.3,0,3979
16.400000000000002,0,3921
16.5,0,3901
16.6,0,3841
16.7,0,3671
16.8,0,3536
16.900000000000002,0,3429
17.0,392,3173
17.1,792,2913
17.2,1126,2689
17.3,1433,2515
17.400000000000002,1708,2359
17.5,1913,2275
17.6,2099,2155
17.7,2251,2127
17.8,2375,1959
17.900000000000002,2485,1929
18.0,2587,1839
18.1,2670,1809
18.2,2736,1781
18.3,2796,1771
18.400000000000002,2857,1743
18.5,2883,1741
18.6,2913,1735
18.7,2955,1692
18.8,2980,1693
18.900000000000002,3018,1715
19.0,3056,1681
19.1,3086,1669
19.200000000000003,3102,1674
19.3,3103,1652
19.400000000000002,3089,1679
19.5,3130,1653
19.6,3102,1647
19.700000000000003,3100,1638
19.8,3097,1643
19.900000000000002,3095,1616
20.0,3090,1647
20.1,3122,1625
20.200000000000003,3079,1667
20.3,3079,1665
20.400000000000002,3066,1649
20.5,3053,1657
20.6,3033,1665
20.700000000000003,3005,1681
20.8,2989,1679
20.900000000000002,2967,1629
21.0,2945,1627
21.1,2928,1591
21.200000000000003,2904,1575
21.3,2881,1603
21.400000000000002,2868,1607
21.5,2847,1619
21.6,2827,1617
21.700000000000003,2811,1635
21.8,2784,1667
21.900000000000002,2773,1644
22.0,2747,1633
22.1,2721,1649
22.200000000000003,2714,1713
22.3,2693,1701
22.400000000000002,2681,1607
22.5,2658,1593
22.6,2646,1582
22.700000000000003,2624,1665
22.8,2579,1680
22.900000000000002,2583,1687
23.0,2565,1683
23.1,2518,1727
23.200000000000003,2443,1855
23.3,2361,2101
23.400000000000002,2276,2231
23.5,2194,2341
23.6,2097,2569
23.700000000000003,1992,2995
23.8,1883,3211
23.900000000000002,1771,3519
24.0,1655,3661
24.1,1533,3901
24.200000000000003,1411,3891
24.3,1289,3875
24.400000000000002,1169,3869
24.5,1049,3883
24.6,933,3879
24.700000000000003,803,3881
24.8,701,3889
24.900000000000002,587,3899
25.0,483,3903
25.1,373,3861
25.200000000000003,274,3851
25.3,181,3953
25.400000000000002,88,3837
25.5,1,3831
25.6,0,3811
25.700000000000003,0,3799
25.8,0,3801
25.900000000000002,0,3797
26.0,0,3765
26.1,0,3773
26.200000000000003,0,3785
26.3,0,3813
26.400000000000002,0,3813
26.5,0,3821
26.6,0,3826
26.700000000000003,0,3797
26.8,0,3701
26.900000000000002,0,3681
27.0,0,3619
27.1,0,3781
27.200000000000003,0,3728
27.3,0,3291
27.400000000000002,61,3007
27.5,504,2883
27.6,892,2715
27.700000000000003,1209,2487
27.8,1485,2289
27.900000000000002,1703,2167
28.0,1894,1975
28.1,2050,1943
28.200000000000003,2194,1867
28.3,2305,1823
28.400000000000002,2407,1787
28.5,2492,1751
28.6,2603,1789
28.700000000000003,2698,1837
28.8,2800,1817
28.900000000000002,2838,1789
29.0,2896,1777
29.1,2892,1757
29.200000000000003,2875,1771
29.3,2868,1767
29.400000000000002,2872,1731
29.5,2861,1753
29.6,2867,1757
29.700000000000003,2824,1759
29.8,2803,1737
29.900000000000002,2772,1739
30.0,2775,1707
30.1,2763,1715
30.200000000000003,2742,1719
30.3,2707,1713
30.400000000000002,2674,1719
30.5,2648,1716
30.6,2625,1718
30.700000000000003,2608,1687
30.8,2583,1727
30.900000000000002,2534,1717
31.0,2508,1735
31.1,2478,1707
31.200000000000003,2463,1717
31.3,2484,1725
31.400000000000002,2396,1701
31.5,2422,1765
31.6,2374,1727
31.700000000000003,2348,1721
31.8,2342,1733
31.900000000000002,2315,1794
32.0,2307,1783
32.1,2294,1801
32.2,2277,1797
32.300000000000004,2261,1797
32.4,2245,1782
32.5,2234,1811
32.6,2205,1813
32.7,2198,1825
32.800000000000004,2181,1833
32.9,2155,1857
33.0,2151,1883
33.1,2134,1863
33.2,2131,1936
33.300000000000004,2135,1889
33.4,2100,1905
33.5,2062,2161
33.6,1985,2401
33.7,1904,2585
33.800000000000004,1834,2879
33.9,1731,3019
34.0,1641,3227
34.1,1548,3563
34.2,1420,3799
34.300000000000004,1306,3955
34.4,1194,4021
34.5,1074,4019
34.6,962,4025
34.7,825,4017
34.800000000000004,696,4025
34.9,593,4016
35.0,479,4021
35.1,365,4027
35.2,263,4025
35.300000000000004,157,4021
35.4,48,4017
35.5,0,3975
35.6,0,4011
35.7,0,4001
35.800000000000004,0,4007
35.9,0,4017
36.0,0,4005
36.1,0,4016
36.2,0,4007
36.300000000000004,0,4013
36.4,0,4001
36.5,0,4001
36.6,0,4001
36.7,0,3987
36.800000000000004,0,4003
36.9,0,4007
37.0,0,4005
37.1,0,3961
37.2,0,3925
37.300000000000004,0,3803
37.4,0,3653
37.5,379,3291
37.6,743,3025
37.7,1040,2763
37.800000000000004,1288,2599
37.9,1492,2457
38.0,1683,2349
38.1,1829,2213
38.2,1953,2111
38.300000000000004,2061,2149
38.400000000000006,2168,2101
38.5,2258,2051
38.6,2330,2025
38.7,2391,1995
38.800000000000004,2448,2053
38.900000000000006,2492,1977
39.0,2531,1987
39.1,2565,1997
39.2,2582,1955
39.300000000000004,2613,1923
39.400000000000006,2630,1927
39.5,2643,1911
39.6,2659,1883
39.7,2673,1879
39.800000000000004,2684,1873
39.900000000000006,2683,1871
40.0,2659,1859
40.1,2651,1843
40.2,2640,1811
40.300000000000004,2618,1865
40.400000000000006,2611,1827
40.5,2592,1825
40.6,2570,1818
40.7,2534,1867
40.800000000000004,2506,1875
40.900000000000006,2492,1905
41.0,2467,1885
41.1,2449,1817
41.2,2423,1785
41.300000000000004,2398,1799
41.400000000000006,2378,1787
41.5,2353,1803
41.6,2335,1837
41.7,2313,1795
